Constellation,Abbreviations,Origin,Meaning
Andromeda,And,Andromedae,ancient (Ptolemy)
Antlia,Ant,Antliae ,"1763, Lacaille"
Apus ,Aps,Apodis ,"1603, Uranometria, created by Keyser and de Houtman"
Aquarius ,Aqr,Aquarii  ,ancient (Ptolemy)
Aquila ,Aql,Aquilae ,ancient (Ptolemy)
Ara,Ara,Arae ,ancient (Ptolemy)
Aries,Ari,Arietis ,ancient (Ptolemy)
Auriga ,Aur,Aurigae ,ancient (Ptolemy)
Boötes ,Boo,Boötis ,ancient (Ptolemy)
Caelum,Cae,Caeli ,"1763, Lacaille"
Camelopardalis ,Cam,Camelopardalis ,"1613, Plancius[note 1]"
Cancer ,Cnc,Cancri ,ancient (Ptolemy)
Canes Venatici ,CVn,Canum Venaticorum ,"1690, Firmamentum Sobiescianum, Hevelius"
Canis Major ,CMa,Canis Majoris  ,ancient (Ptolemy)
Canis Minor ,CMi,Canis Minoris ,ancient (Ptolemy)
Capricornus ,Cap,Capricorni ,ancient (Ptolemy)
Carina ,Car,Carinae ,"1763, Lacaille, split from Argo Navis"
Cassiopeia ,Cas,Cassiopeiae ,ancient (Ptolemy)
Centaurus ,Cen,Centauri ,ancient (Ptolemy)
Cepheus ,Cep,Cephei ,ancient (Ptolemy)
Cetus,Cet,Ceti ,ancient (Ptolemy)
Chamaeleon ,Cha,Chamaeleontis ,"1603, Uranometria, created by Keyser and de Houtman"
Circinus ,Cir,Circini ,"1763, Lacaille"
Columba,Col,Columbae ,"1592, Plancius, split from Canis Major"
Coma Berenices ,Com,Comae Berenices ,"1603, Uranometria, split from Leo"
Corona Australis,CrA,Coronae Australis ,ancient (Ptolemy)
Corona Borealis ,CrB,Coronae Borealis ,ancient (Ptolemy)
Corvus ,Crv,Corvi ,ancient (Ptolemy)
Crater ,Crt,Crateris ,ancient (Ptolemy)
Crux ,Cru,Crucis ,"1603, Uranometria, split from Centaurus"
Cygnus ,Cyg,Cygni ,ancient (Ptolemy)
Delphinus ,Del,Delphini,ancient (Ptolemy)
Dorado ,Dor,Doradus,"1603, Uranometria, created by Keyser and de Houtman"
Draco ,Dra,Draconis ,ancient (Ptolemy)
Equuleus ,Equ,Equulei ,ancient (Ptolemy)
Eridanus,Eri,Eridani ,ancient (Ptolemy)
Fornax,For,Fornacis,"1763, Lacaille"
Gemini ,Gem,Geminorum,ancient (Ptolemy)
Grus ,Gru,Gruis ,"1603, Uranometria, created by Keyser and de Houtman"
Hercules ,Her,Herculis,ancient (Ptolemy)
Horologium,Hor,Horologii,"1763, Lacaille"
Hydra ,Hya,Hydrae ,ancient (Ptolemy)
Hydrus,Hyi,Hydri ,"1603, Uranometria, created by Keyser and de Houtman"
Indus ,Ind,Indi ,"1603, Uranometria, created by Keyser and de Houtman"
Lacerta,Lac,Lacertae,"1690, Firmamentum Sobiescianum, Hevelius"
Leo Minor,LMi,Leonis Minoris,"1690, Firmamentum Sobiescianum, Hevelius"
Leo,Leo,Leonis,ancient (Ptolemy)
Lepus ,Lep,Leporis ,ancient (Ptolemy)
Libra ,Lib,Librae ,ancient (Ptolemy)
Lupus ,Lup,Lupi ,ancient (Ptolemy)
Lynx ,Lyn,Lyncis ,"1690, Firmamentum Sobiescianum, Hevelius"
Lyra ,Lyr,Lyrae ,ancient (Ptolemy)
Mensa,Men,Mensae,"1763, Lacaille"
Microscopium,Mic,Microscopii,"1763, Lacaille"
Monoceros,Mon,Monocerotis ,"1613, Plancius"
Musca,Mus,Muscae ,"1603, Uranometria, created by Keyser and de Houtman"
Norma ,Nor,Normae,"1763, Lacaille"
Octans,Oct,Octantis,"1763, Lacaille"
Ophiuchus ,Oph,Ophiuchi ,ancient (Ptolemy)
Orion ,Ori,Orionis ,ancient (Ptolemy)
Pavo ,Pav,Pavonis ,"1603, Uranometria, created by Keyser and de Houtman"
Pegasus,Peg,Pegasi ,ancient (Ptolemy)
Perseus ,Per,Persei ,ancient (Ptolemy)
Phoenix,Phe,Phoenicis,"1603, Uranometria, created by Keyser and de Houtman"
Pictor ,Pic,Pictoris ,"1763, Lacaille"
Pisces,Psc,Piscium ,ancient (Ptolemy)
Piscis Austrinus ,PsA,Piscis Austrini ,ancient (Ptolemy)
Puppis,Pup,Puppis ,"1763, Lacaille, split from Argo Navis"
Pyxis ,Pyx,Pyxidis ,"1763, Lacaille"
Reticulum ,Ret,Reticuli ,"1763, Lacaille"
Sagitta,Sge,Sagittae,ancient (Ptolemy)
Sagittarius,Sgr,Sagittarii ,ancient (Ptolemy)
Scorpius,Sco,Scorpii,ancient (Ptolemy)
Sculptor,Scl,Sculptoris,"1763, Lacaille"
Scutum,Sct,Scuti ,"1690, Firmamentum Sobiescianum, Hevelius"
Serpens[10],Ser,Serpentis,ancient (Ptolemy)
Sextans ,Sex,Sextantis ,"1690, Firmamentum Sobiescianum, Hevelius"
Taurus ,Tau,Tauri ,ancient (Ptolemy)
Telescopium ,Tel,Telescopii ,"1763, Lacaille"
Triangulum Australe,TrA,Trianguli Australis,"1603, Uranometria, created by Keyser and de Houtman"
Triangulum,Tri,Trianguli ,ancient (Ptolemy)
Tucana ,Tuc,Tucanae,"1603, Uranometria, created by Keyser and de Houtman"
Ursa Major ,UMa,Ursae Majoris ,ancient (Ptolemy)
Ursa Minor ,UMi,Ursae Minoris ,ancient (Ptolemy)
Vela ,Vel,Velorum,"1763, Lacaille, split from Argo Navis"
Virgo ,Vir,Virginis ,ancient (Ptolemy)
Volans,Vol,Volantis,"1603, Uranometria, created by Keyser and de Houtman"
Vulpecula,Vul,Vulpeculae,"1690, Firmamentum Sobiescianum, Hevelius"